id,gold_relation,suggested_relation,head_type,head_text,tail_type,tail_text,source_url,sentence,marked_text,memo
dd4ba30cd8bf6bcc,,REQUIRES_DOCUMENT,Visa,D-4,Document,최종학력 졸업증명서(사본,https://oia.gachon.ac.kr/international/a/m/krCenterApply.do,D-4비자 신청 서류 (어학연수 비자) 어학연수 비자 1 입학원서 및 자기소개서 (본교 양식) 2 유학생 보험가입 서약서 (본교 양식) 3 재정 및 신원보증서(본교 양식)<p>▶ 첨부서류 :</p><ul class='list_no'><li><span>1.</span>재정보증인 신분증 사본</li><li><span>2.</...,[E1] D-4 [/E1]비자 신청 서류 (어학연수 비자) 어학연수 비자 1 입학원서 및 자기소개서 (본교 양식) 2 유학생 보험가입 서약서 (본교 양식) 3 재정 및 신원보증서(본교 양식)<p>▶ 첨부서류 :</p><ul class='list_no'><li><span>1.</span>재정보증인 신분증 사본</li><li...,
97f8000ea85a0925,,REQUIRES_DOCUMENT,Event,TOPIK 단체접수,Document,한국어교육센터) 단체 접수는 온라인으로 신청서,https://oia.gachon.ac.kr/international/a/m/topikList.do,"TOPIK 단체접수 가천대학교 국제교류처에서는 시험 응시자의 편의를 위해 정부에서 주최하는 한국어능력시험(TOPIK)의 단체 접수를 진행하고 있습니다. (가천대학교 소속 학생에 한함-학부, 대학원, 한국어교육센터) 단체 접수는 온라인으로 신청서를 작성한 후 프린트하여 시험비와 함께 국제교류처 613호에 제출하시면 됩니다....","[E1] TOPIK 단체접수 [/E1] 가천대학교 국제교류처에서는 시험 응시자의 편의를 위해 정부에서 주최하는 한국어능력시험(TOPIK)의 단체 접수를 진행하고 있습니다. (가천대학교 소속 학생에 한함-학부, 대학원, [E2] 한국어교육센터) 단체 접수는 온라인으로 신청서 [/E2]를 작성한 후 프린트하여 시험비와 함께 ...",
bcdf8c027057679a,,REQUIRES_DOCUMENT,Event,"<span>03</span> <strong class=""strong2"">신청 서류</strong> 시간제 취업 확인서 본인 여권 / 외국인 등록증 성적증명서 및",Document,한국어 능력 증빙서류,https://oia.gachon.ac.kr/international/a/m/immigrationSupport.do,"<span>03</span> <strong class=""strong2"">신청 서류</strong> 시간제 취업 확인서 본인 여권 / 외국인 등록증 성적증명서 및 재학증명서 <p>한국어 능력 증빙서류</p> <i>토픽 자격증-심사기준 참고</i> 사업자 등록증 사본 <p>포준근로계약서 사본</p> <i>시급 및 근무내용, ...","[E1] <span>03</span> <strong class=""strong2"">신청 서류</strong> 시간제 취업 확인서 본인 여권 / 외국인 등록증 성적증명서 및 [/E1] 재학증명서 <p>[E2] 한국어 능력 증빙서류 [/E2]</p> <i>토픽 자격증-심사기준 참고</i> 사업자 등록증 사본 <p>포준근로계약서...",
edd5f59bfc0ebb7b,,REQUIRES_DOCUMENT,Visa,통장 만들 때 필요한 서류,Document,신분증 (여권 또는 외국인등록증,https://oia.gachon.ac.kr/international/a/m/guideNewStudent.do,통장 만들 때 필요한 서류 <li>신분증 (여권 또는 외국인등록증)</li> <li>도장 또는 사인</li> <li>재학증명서</li>,[E1] 통장 만들 때 필요한 서류 [/E1] <li>[E2] 신분증 (여권 또는 외국인등록증 [/E2])</li> <li>도장 또는 사인</li> <li>재학증명서</li>,
81a26d4be8844d7a,,REQUIRES_DOCUMENT,Visa,외국인 등록 필수 서류,Document,현재 학기 재학증명서,https://oia.gachon.ac.kr/international/a/m/immigrationApp.do,"대한민국에 입국한 외국인이 입국한 날부터 90일을 초과하여 체류하고자 할 경우 입국일로부터 90일 이내에 외국인 등록을 해야 합니다. (※ 입국일로부터 90일 이내 외국인 등록을 하지 않는 경우 과태료가 부과될 수 있습니다.) 외국인 등록 필수 서류 통합신청서 다운로드 여권 사본 비자 사본 여권 사진 1장 흰색 배경 3.5cm X 4.5cm, 6개월 이내 사진 <span class=""font_scarlet"" >*</span> 거주사실 확인서 <p>현재 학기 재학증명서 (영문)</p> <i>학생서비스센터 옆 발급기 이용</i> 수수료 30,000...","대한민국에 입국한 외국인이 입국한 날부터 90일을 초과하여 체류하고자 할 경우 입국일로부터 90일 이내에 외국인 등록을 해야 합니다. (※ 입국일로부터 90일 이내 외국인 등록을 하지 않는 경우 과태료가 부과될 수 있습니다.) [E1] 외국인 등록 필수 서류 [/E1] 통합신청서 다운로드 여권 사본 비자 사본 여권 사진 1장 흰색 배경 3.5cm X 4.5cm, 6개월 이내 사진 <span class=""font_scarlet"" >*</span> 거주사실 확인서 <p>[E2] 현재 학기 재학증명서 [/E2] (영문)</p> <i>학생서비스센터 옆...",
72b58aecde0aa8d6,,REQUIRES_DOCUMENT,Visa,회원가입 유의사항,Document,재학증명서,https://oia.gachon.ac.kr/international/a/m/guideNewStudent.do,"...ng>가천대학교 홈페이지 접속</strong></li> <li><strong>상단 회원가입 버튼 클릭</strong></li> <li><strong> 회원타입:학생, 인증방법 : 신입생 또는 외국인 선택 </strong></li> <li><strong>아이디, 비밀번호 입력 후 로그인</strong></li> </ul> 회원가입 유의사항 <span>1.</span>가입한 아이디와 비밀번호를 꼭 기억하고 적어 놓으세요! 다시 찾는 과정이 어렵습니다. <span>2.</s","...ng>가천대학교 홈페이지 접속</strong></li> <li><strong>상단 회원가입 버튼 클릭</strong></li> <li><strong> 회원타입:학생, 인증방법 : 신입생 또는 외국인 선택 </strong></li> <li><strong>아이디, 비밀번호 입력 후 로그인</strong></li> </ul> [E1] 회원가입 유의사항 [/E1] <span>1.</span>가입한 아이디와 비밀번호를 꼭 기억하고 적어 놓으세요! 다시 찾는 과정이 어렵습니다. <span>2.</s [E2] 재학증명서 [/E2]",
3c8d66680233c821,,REQUIRES_DOCUMENT,Event,<p>국제교류처에서는 신입생 및 외국인 등록증이 필요한 가천대학교 학생을 대상으로 외국인등록증 단체접수를 진행하고 있습니다.</p> <strong>절차 안내</s,Document,홈페이지 공지사항에 단체 신청이 안내되면 위의 서류,https://oia.gachon.ac.kr/international/a/m/immigrationApp.do,"<p>국제교류처에서는 신입생 및 외국인 등록증이 필요한 가천대학교 학생을 대상으로 외국인등록증 단체접수를 진행하고 있습니다.</p> <strong>절차 안내</strong> <ul class=""list_no""> <li><span>1.</span> 홈페이지 공지사항에 단체 신청이 안내되면 위의 서류를 챙겨 국제교류처(글로벌...","[E1] <p>국제교류처에서는 신입생 및 외국인 등록증이 필요한 가천대학교 학생을 대상으로 외국인등록증 단체접수를 진행하고 있습니다.</p> <strong>절차 안내</s [/E1]trong> <ul class=""list_no""> <li><span>1.</span> [E2] 홈페이지 공지사항에 단체 신청이 안내되면 위의 ...",
7d08f58ad2d36967,,REQUIRES_DOCUMENT,Visa,D-4,Document,4비자 신청 서류,https://oia.gachon.ac.kr/international/a/m/krCenterApply.do,D-4비자 신청 서류 (어학연수 비자) 어학연수 비자 1 입학원서 및 자기소개서 (본교 양식) 2 유학생 보험가입 서약서 (본교 양식) 3 재정 및 신원보증서(본교 양식)<p>▶ 첨부서류 :</p><ul class='list_no'><li><span>1.</span>재정보증인 신분증 사본</li><li><span>2.</...,[E1] D-4 [/E1]비자 신청 서류 (어학연수 비자) 어학연수 비자 1 입학원서 및 자기소개서 (본교 양식) 2 유학생 보험가입 서약서 (본교 양식) 3 재정 및 신원보증서(본교 양식)<p>▶ 첨부서류 :</p><ul class='list_no'><li><span>1.</span>재정보증인 신분증 사본</li><li...,
43ffd81dc4c86079,,REQUIRES_DOCUMENT,Visa,외국인 등록 필수 서류,Document,부동산 계약서 사본,https://oia.gachon.ac.kr/international/a/m/immigrationApp.do,"신규신청 재발급 대한민국에 입국한 외국인이 입국한 날부터 90일을 초과하여 체류하고자 할 경우 입국일로부터 90일 이내에 외국인 등록을 해야 합니다. (※ 입국일로부터 90일 이내 외국인 등록을 하지 않는 경우 과태료가 부과될 수 있습니다.) 외국인 등록 필수 서류 통합신청서 다운로드 여권 사본 비자 사본 여권 사진 1장 흰색 배경 3.5cm X 4.5cm, 6개월 이내 사진 <span class=""font_scarlet"" >*</span> 거주사실 확인서 <p>현재 학기 재학증명서 (영문)</p> <i>학생서비스센터 옆 발급기 이용</i> 수수료 30,000...","신규신청 재발급 대한민국에 입국한 외국인이 입국한 날부터 90일을 초과하여 체류하고자 할 경우 입국일로부터 90일 이내에 외국인 등록을 해야 합니다. (※ 입국일로부터 90일 이내 외국인 등록을 하지 않는 경우 과태료가 부과될 수 있습니다.) [E1] 외국인 등록 필수 서류 [/E1] 통합신청서 다운로드 여권 사본 비자 사본 여권 사진 1장 흰색 배경 3.5cm X 4.5cm, 6개월 이내 사진 <span class=""font_scarlet"" >*</span> 거주사실 확인서 <p>현재 학기 재학증명서 (영문)</p> <i>학생서비스센터 옆 발급기 이용</i>...",
9ecd1cfc19529664,,REQUIRES_DOCUMENT,Event,교환학생 입학안내,Document,입학신청서류,https://oia.gachon.ac.kr/international/a/m/exchangeStudent.do,교환학생 입학안내 교환학생 입학안내 교환학생 기간 1학기 또는 1년 (양교간 협정에 의거하여 진행) 학기 스케줄 봄학기(1학기): 3월 초 ~ 6월 말 가을학기(2학기): 9월 초 ~ 12월 말 입학 신청/허가 기간 학기 입학신청서 접수마감 입학허가 통보 봄학기 11월 말까지 12월 말까지 가을학기 5월 말까지 6월 말까...,[E1] 교환학생 입학안내 [/E1] 교환학생 입학안내 교환학생 기간 1학기 또는 1년 (양교간 협정에 의거하여 진행) 학기 스케줄 봄학기(1학기): 3월 초 ~ 6월 말 가을학기(2학기): 9월 초 ~ 12월 말 입학 신청/허가 기간 학기 입학신청서 접수마감 입학허가 통보 봄학기 11월 말까지 12월 말까지 가을학기 5...,
