id,gold_relation,suggested_relation,head_type,head_text,tail_type,tail_text,source_url,sentence,marked_text,memo
4311a007ce1114d7,,HAS_CONTACT_PHONE,Page,외국인학생,Phone,031-750-5692,https://oia.gachon.ac.kr/clientMain/a/t/internationalMain.do,031-750-5692,[E1] 외국인학생 [/E1] [E2] 031-750-5692 [/E2],
a52e3ef61301df54,,HAS_CONTACT_PHONE,Notice,사고 접수 방법 및 제출 서류 문의,Phone,070-7614-2512,https://oia.gachon.ac.kr/international/a/m/guideInsurance.do,사고 접수 방법 및 제출 서류 문의 foreign@edu-safety.org 070-7614-2512 www.univ-safety.org/foreign 카카오톡 한국 교육 안전공제회 또는 foreignsafety 위챗,[E1] 사고 접수 방법 및 제출 서류 문의 [/E1] foreign@edu-safety.org [E2] 070-7614-2512 [/E2] www.univ-safety.org/foreign 카카오톡 한국 교육 안전공제회 또는 foreignsafety 위챗,
dc525d581f25b9e1,,HAS_CONTACT_PHONE,Notice,사감실 : 제1학생 생활관 여학생동 B1층 031-750-8913,Phone,031-750-8913,https://oia.gachon.ac.kr/international/a/m/guideDomitory.do,"사감실 : 제1학생 생활관 여학생동 B1층 031-750-8913 사감실 기숙사비 (원) 2인실 4인실 <td class=""ta_c"">4개월</td> <td class=""ta_c"">6개월</td> <td class=""ta_c"">4개월</td> <td class=""ta_c"">6개월</td> 1,306,400 1,909,60...","[E1] 사감실 : 제1학생 생활관 여학생동 B1층 [E2] 031-750-8913 [/E2] [/E1] 사감실 기숙사비 (원) 2인실 4인실 <td class=""ta_c"">4개월</td> <td class=""ta_c"">6개월</td> <td class=""ta_c"">4개월</td> <td class=""ta_c"">6개월</...",
ab8d9b1418cce569,,HAS_CONTACT_PHONE,Page,출입국·외국인청 찾기,Phone,02-2650-6214,https://oia.gachon.ac.kr/international/a/m/immigrationApply.do,02-2650-6214,[E1] 출입국·외국인청 찾기 [/E1] [E2] 02-2650-6214 [/E2],
5a0b91f7a0a644b5,,HAS_CONTACT_PHONE,Notice,교수진 소개,Phone,031-750-5623,https://oia.gachon.ac.kr/international/a/m/klecInfo.do,교수진 소개 교수진 리스트 부서 직위 학위 전공 성명 연락처 이메일 한국어 교육센터 주임 교수 가천대학교 일반대학원 문학박사 한국어학 이태환 031-750-5870 dogbeef@gachon.ac.kr 객원 교수 북경사범대학교 문학석사 언어학 및 응용언어학 김선희 031-750-5623 sunny@gachon.ac.kr ...,[E1] 교수진 소개 [/E1] 교수진 리스트 부서 직위 학위 전공 성명 연락처 이메일 한국어 교육센터 주임 교수 가천대학교 일반대학원 문학박사 한국어학 이태환 031-750-5870 dogbeef@gachon.ac.kr 객원 교수 북경사범대학교 문학석사 언어학 및 응용언어학 김선희 [E2] 031-750-5623 [/E...,
f131dcddcb7d9cea,,HAS_CONTACT_PHONE,Notice,한국어 교육센터 소개,Phone,031-724-4438,https://oia.gachon.ac.kr/international/a/m/klecInfo.do,"한국어 교육센터 소개 가천대학교 국제교류처 한국어교육센터는 2004년 국제어학원 한국어과정으로 시작하여, 한국어 세계화의 전문적인 기관이라는 목표로 2012년 국제교류처 한국어교육센터로 확대 개편되었습니다. 한국어 정규과정은 국내 대학 진학을 목적으로 하는 외국인 유학생과 한국어를 배우고자 하는 외국인, 교포 자녀들을 위...","[E1] 한국어 교육센터 소개 [/E1] 가천대학교 국제교류처 한국어교육센터는 2004년 국제어학원 한국어과정으로 시작하여, 한국어 세계화의 전문적인 기관이라는 목표로 2012년 국제교류처 한국어교육센터로 확대 개편되었습니다. 한국어 정규과정은 국내 대학 진학을 목적으로 하는 외국인 유학생과 한국어를 배우고자 하는 외국인...",
eaf8dd416b41fc0a,,HAS_CONTACT_PHONE,Page,출입국·외국인청 찾기,Phone,02-2650-6295,https://oia.gachon.ac.kr/international/a/m/immigrationApply.do,02-2650-6295,[E1] 출입국·외국인청 찾기 [/E1] [E2] 02-2650-6295 [/E2],
0eebe983a7f7ccc5,,HAS_CONTACT_PHONE,Notice,<span>1</span>가천관 <span>2</span>비전타워 <span>3</span>법과대학 <span>4</span>공과대학1 <spa,Phone,04 5914 5924,https://oia.gachon.ac.kr/international/a/m/guideFacilities.do,<span>1</span>가천관 <span>2</span>비전타워 <span>3</span>법과대학 <span>4</span>공과대학1 <span>5</span>공과대학2 <span>6</span>바이오나노 대학 <span>7</span>IT 대학 <span>8</span>한의과대학 <span>9</span>예술·체육대학...,[E1] <span>1</span>가천관 <span>2</span>비전타워 <span>3</span>법과대학 <span>4</span>공과대학1 <spa [/E1]n>5</span>공과대학2 <span>6</span>바이오나노 대학 <span>7</span>IT 대학 <span>8</span>한의과대학 <span>9</s...,
105177ca13f8cef3,,HAS_CONTACT_PHONE,Page,학교시설,Phone,04 5914 5924,https://oia.gachon.ac.kr/international/a/m/guideFacilities.do,04 5914 5924,[E1] 학교시설 [/E1] [E2] 04 5914 5924 [/E2],
0653243a58d05af5,,HAS_CONTACT_PHONE,Notice,2026학년도 1학기 한국어능력 졸업인증 대체시험,Phone,031-750-5692,https://oia.gachon.ac.kr/clientMain/a/t/internationalMain.do,공지사항 08 2026 . 05 2026학년도 1학기 한국어능력 졸업인증 대체시험 (외국인유학생대상) 2026학년도 1학기 한국어능력 졸업인증 대체시험(외국인유학생대상)국제교류처에서 2026년도 1학기 한국어능력 졸업인증 대체시험을 운영합니다.한국어능력 졸업인증을 하지 못한 외국인유학생은 아래사항을 확인하여 졸업에 차질이 없도록 대비 바랍니다.대체시험을...,공지사항 08 2026 . 05 [E1] 2026학년도 1학기 한국어능력 졸업인증 대체시험 [/E1] (외국인유학생대상) 2026학년도 1학기 한국어능력 졸업인증 대체시험(외국인유학생대상)국제교류처에서 2026년도 1학기 한국어능력 졸업인증 대체시험을 운영합니다.한국어능력 졸업인증을 하지 못한 외국인유학생은 아래사항을 확인하여 졸업에 차질이 없도록 대비...,
a47cf18c5b59f3c9,,HAS_CONTACT_PHONE,Page,소개,Phone,031-750-5842,https://oia.gachon.ac.kr/international/a/m/klecInfo.do,031-750-5842,[E1] 소개 [/E1] [E2] 031-750-5842 [/E2],
3c0a544b30f6226b,,HAS_CONTACT_PHONE,Page,강사 상시모집,Phone,031-750-5824,https://oia.gachon.ac.kr/international/a/m/krCenterRecruitment.do,031-750-5824,[E1] 강사 상시모집 [/E1] [E2] 031-750-5824 [/E2],
929fe1143ed9dd35,,HAS_CONTACT_PHONE,Page,보험,Phone,070-7614-2512,https://oia.gachon.ac.kr/international/a/m/guideInsurance.do,070-7614-2512,[E1] 보험 [/E1] [E2] 070-7614-2512 [/E2],
18d1680713284c9a,,HAS_CONTACT_PHONE,Page,동문소식,Phone,016 2015 2014,https://oia.gachon.ac.kr/international/a/m/alumniStory.do,016 2015 2014,[E1] 동문소식 [/E1] [E2] 016 2015 2014 [/E2],
073ecd3a875205ad,,HAS_CONTACT_PHONE,Notice,회원가입 유의사항,Phone,031-750-5692,https://oia.gachon.ac.kr/international/a/m/guideNewStudent.do,"...ng>가천대학교 홈페이지 접속</strong></li> <li><strong>상단 회원가입 버튼 클릭</strong></li> <li><strong> 회원타입:학생, 인증방법 : 신입생 또는 외국인 선택 </strong></li> <li><strong>아이디, 비밀번호 입력 후 로그인</strong></li> </ul> 회원가입 유의사항 <span>1.</span>가입한 아이디와 비밀번호를 꼭 기억하고 적어 놓으세요! 다시 찾는 과정이 어렵습니다. <span>2.</span>한국이름을 꼭 기억해 놓으세요. 학교 홈페이지에서는 한국이름으로 가입합니다. <span>3.</span>한국이름을 모른다면 국제교류처 OIS센터로 문의해주세요.","...ng>가천대학교 홈페이지 접속</strong></li> <li><strong>상단 회원가입 버튼 클릭</strong></li> <li><strong> 회원타입:학생, 인증방법 : 신입생 또는 외국인 선택 </strong></li> <li><strong>아이디, 비밀번호 입력 후 로그인</strong></li> </ul> [E1] 회원가입 유의사항 [/E1] <span>1.</span>가입한 아이디와 비밀번호를 꼭 기억하고 적어 놓으세요! 다시 찾는 과정이 어렵습니다. <span>2.</span>한국이름을 꼭 기억해 놓으세요. 학교 홈페이지에서는 한국이름으로 가입합니다. <span>3.</span>한국이름을 모른다면 국제교류처 OIS센터로...",
38109fe6fc491da5,,HAS_CONTACT_PHONE,Page,기숙사,Phone,031-750-8913,https://oia.gachon.ac.kr/international/a/m/guideDomitory.do,031-750-8913,[E1] 기숙사 [/E1] [E2] 031-750-8913 [/E2],
351ca2ae5be1d7da,,HAS_CONTACT_PHONE,Page,소개,Phone,031-724-4438,https://oia.gachon.ac.kr/international/a/m/klecInfo.do,031-724-4438,[E1] 소개 [/E1] [E2] 031-724-4438 [/E2],
34e9f0831ff9999e,,HAS_CONTACT_PHONE,Notice,교수진 소개,Phone,031-724-4438,https://oia.gachon.ac.kr/international/a/m/klecInfo.do,교수진 소개 교수진 리스트 부서 직위 학위 전공 성명 연락처 이메일 한국어 교육센터 주임 교수 가천대학교 일반대학원 문학박사 한국어학 이태환 031-750-5870 dogbeef@gachon.ac.kr 객원 교수 북경사범대학교 문학석사 언어학 및 응용언어학 김선희 031-750-5623 sunny@gachon.ac.kr ...,[E1] 교수진 소개 [/E1] 교수진 리스트 부서 직위 학위 전공 성명 연락처 이메일 한국어 교육센터 주임 교수 가천대학교 일반대학원 문학박사 한국어학 이태환 031-750-5870 dogbeef@gachon.ac.kr 객원 교수 북경사범대학교 문학석사 언어학 및 응용언어학 김선희 031-750-5623 sunny@ga...,
9ecf7dde1c85b394,,HAS_CONTACT_PHONE,Notice,교수진 소개,Phone,031-750-5870,https://oia.gachon.ac.kr/international/a/m/klecInfo.do,교수진 소개 교수진 리스트 부서 직위 학위 전공 성명 연락처 이메일 한국어 교육센터 주임 교수 가천대학교 일반대학원 문학박사 한국어학 이태환 031-750-5870 dogbeef@gachon.ac.kr 객원 교수 북경사범대학교 문학석사 언어학 및 응용언어학 김선희 031-750-5623 sunny@gachon.ac.kr ...,[E1] 교수진 소개 [/E1] 교수진 리스트 부서 직위 학위 전공 성명 연락처 이메일 한국어 교육센터 주임 교수 가천대학교 일반대학원 문학박사 한국어학 이태환 [E2] 031-750-5870 [/E2] dogbeef@gachon.ac.kr 객원 교수 북경사범대학교 문학석사 언어학 및 응용언어학 김선희 031-750-56...,
3647b13684b20190,,HAS_CONTACT_PHONE,Notice,교수진 소개,Phone,031-724-4437,https://oia.gachon.ac.kr/international/a/m/klecInfo.do,교수진 소개 교수진 리스트 부서 직위 학위 전공 성명 연락처 이메일 한국어 교육센터 주임 교수 가천대학교 일반대학원 문학박사 한국어학 이태환 031-750-5870 dogbeef@gachon.ac.kr 객원 교수 북경사범대학교 문학석사 언어학 및 응용언어학 김선희 031-750-5623 sunny@gachon.ac.kr ...,[E1] 교수진 소개 [/E1] 교수진 리스트 부서 직위 학위 전공 성명 연락처 이메일 한국어 교육센터 주임 교수 가천대학교 일반대학원 문학박사 한국어학 이태환 031-750-5870 dogbeef@gachon.ac.kr 객원 교수 북경사범대학교 문학석사 언어학 및 응용언어학 김선희 031-750-5623 sunny@ga...,
68f52698c4d38264,,HAS_CONTACT_PHONE,Page,소개,Phone,031-724-4437,https://oia.gachon.ac.kr/international/a/m/klecInfo.do,031-724-4437,[E1] 소개 [/E1] [E2] 031-724-4437 [/E2],
070b3041aef5c8f2,,HAS_CONTACT_PHONE,Notice,가천대학교 관할청 : 서울출입국 · 외국인청,Phone,02-2650-6295,https://oia.gachon.ac.kr/international/a/m/immigrationApply.do,"<span>01</span> <strong>비자연장</strong> <p>외국인 등록증 등 출입국 관련 업무를 담당하는 출입국 · 외국인청은 학생이 거주하는 곳에 따라 다르므로 미리 확인하시길 바랍니다.</p> 가천대학교 관할청 : 서울출입국 · 외국인청 <li>주소 : 서울 양천구 목동동로 151 [우편번호 : 08013]</li> <li>전화번호 : <a href=""tel:02-2650-6214"" class=""link"">02-2650-6214</a></li> <li>팩스번호 : <a href=""tel:02-2650-6295""...","<span>01</span> <strong>비자연장</strong> <p>외국인 등록증 등 출입국 관련 업무를 담당하는 출입국 · 외국인청은 학생이 거주하는 곳에 따라 다르므로 미리 확인하시길 바랍니다.</p> [E1] 가천대학교 관할청 : 서울출입국 · 외국인청 [/E1] <li>주소 : 서울 양천구 목동동로 151 [우편번호 : 08013]</li> <li>전화번호 : <a href=""tel:02-2650-6214"" class=""link"">02-2650-6214</a></li> <li>팩스번호 : <a href=""tel:[E...",
